Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834.1,1836,1819.7,1802.3,1790.6,1801.6,1791.7,1799.1,1797.1,1802.7,1804.8,1779.5,1774.9,1773.7,1786.5,1797.6,1793.4,1782.7,1783.6,1768.4,1778.8
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619.2,1637.15,1648.5,1641.65,1654
Belgium,,,,,,,,,,,,,,,,,,,,,1883.16,1873.42,1847.49,1820.08,1791.9,1782.67,1785.45,1759.77,1742.99,1726.57,1706.53,1683.39,1668.97,1674.93,1699,1705.02,1684.96,1669.92,1657.88,1648.85,1662.9,1625.79,1602.72,1558.59,1558.59,1515.835,1500.295,1510.315,1513.33,1514.5
Canada,,,,,,,,,,,,2017.5,2020,2004.5,1999.5,1987,1971.5,1964.5,1932,1917,1901,1887.5,1882,1878,1869.5,1851,1840,1816.5,1819.5,1826.5,1817.5,1802.5,1779,1770,1781,1786.5,1790,1800.5,1801,1795,1789.5,1767.5,1766,1764.5,1773,1771.5,1786.5,1782.5,1778.5,1778.5
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673.1,1684.8,1685.8,1706.2,1685.5,1658.9,1648.6,1656.6,1678.4
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2323.5,2278.5,2318,2304
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926,1906.5,1922.5,1919.5,1923.5,1936,1953.5
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516.1,1526.5,1501.25,1497.15,1484.9,1466.75,1454.15,1447.3,1431.55
Denmark,,,,,,,,,,,,,,,,,1843.630005,1820.800049,1781.140015,1745.310059,1785.26001,1754.070007,1694.77002,1650.14502,1636.929993,1564.359985,1572.325012,1547.965027,1528.205017,1522.284973,1542.655029,1512.005005,1519.349976,1513.690002,1509.179993,1496.344971,1501.015015,1469.175,1450.6425,1433.06,1418.76,1413.16,1431.54,1430.785,1393.675,1402.83,1395.065,1412.177,1428.415,1440.485
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992.35,1961.45,1908.9,1890.65,1859.82,1839.55,1808.2,1763.2,1755.6,1748.55,1741.95,1738.9,1729.3,1729.3,1737.4,1729.8,1719.7,1718.7,1720.2,1721.2,1723.2,1726.8,1728.8
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,2061,2060,2053,2049,2075,2075,2050,2033,2017,1998,1982,1947,1931,1915,1909,1899,1896,1888,1893,1869,1849,1855,1840,1823,1765,1762.5,1738,1749.5,1763,1752,1717.5,1700,1709,1691,1722.5,1724,1732.5,1726,1713,1715
France,2086.380005,2114.61499,2096.035034,2078.25,2094.825012,2085.534973,2044.694946,2027.039917,2017.005005,2020.219971,2035.119934,2019.460022,2036.369995,2025.584961,2037.794983,2028.844971,2025.639954,1996.320007,1974.390015,1910.940002,1897.160034,1898.265015,1851.335022,1839.630005,1811.815002,1788,1816.005005,1780.700012,1751.27002,1749.399963,1742.369995,1723.875,1650.420044,1633.174988,1626.960022,1595.919983,1592.494995,1605.665039,1615.919983,1602.11499,1600.389954,1588.630005,1592.870056,1579.86499,1570.070007,1547.094971,1548.664978,1539.059998,1527,1518.409973
United Kingdom,,,,,,,,,,,,,,,,,,,,,1901.5,1864.5,1831,1886,1847.5,1843,1826.5,1807.5,1787.5,1780,1735,1679,1693.5,1680,1695.5,1731,1732.5,1719,1761,1747.5,1732.5,1728.5,1704,1698.5,1710.5,1713,1713.5,1714.5,1713,1703.5
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973,1930.5,1944,1938,1915,1902.5,1929.5,1922.5,1945,1969,1979,1960.5,1948,1955.5,1953,1959,1958
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930,1928,1847,1829,1765,1742,1734,1772,1768,1746,1710,1682,1644,1732,1759,1885.25,1888.3,1904.7,1905.45,1917.55
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678,1673,1686,1701,1685,1678,1685,1689,1672,1648,1624,1630,1632,1644,1618,1767,1758.5
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988.2,2001.5,2004.15,1978.4,1971.35,1994.45,2004.7,1977.75,1992.3
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,2017,2027,2003,2003
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1767.95,1777.8,1773.8,1786.3,1784.3
Japan,,,,,,,,,,,,,,,,,,,,,2243,2239,2228,2201,2137,2112,2128,2129,2123,2126,2121,2106,2104,2095,2108,2093,2097,2096,2092,2070,2031,1998,1965,1905,1898,1897,1905.5,1878,1856.5,1825
Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2864,2880,2893,2911,2907,2882,2911,2880,2834,2731,2677,2661,2639,2656,2640,2648,2637,2582,2488,2495
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1729,1727,1733,1780,1726
