count,km,year,powerPS,minPrice,maxPrice,avgPrice,sdPrice
19,125000,1991,40,300,1499,648.3158,352.0352931815635
69,150000,1991,40,110,1600,516.4348,346.7676613585575
11,90000,1991,60,330,10000,2342.4545,3017.432333010555
26,100000,1991,60,200,8750,1392.3846,1598.662832516915
42,125000,1991,60,150,4600,1140.6429,1010.314138356613
233,150000,1991,60,110,9000,1114.4592,1220.0438883660363
13,90000,1991,80,150,4699,1376.0769,1337.335494500939
15,100000,1991,80,150,3990,963.9333,973.2656003830039
19,125000,1991,80,150,3900,1063.0526,837.1903181528464
234,150000,1991,80,120,12000,1443.2906,1571.5091068198078
11,90000,1991,100,400,4000,1598.0909,1052.7177342949883
32,125000,1991,100,499,12300,2245.5000,2362.3634616629165
474,150000,1991,100,150,39000,2257.2954,3127.4493255800785
12,100000,1991,120,370,9890,3580.0000,2604.678483037782
30,125000,1991,120,500,9800,3285.6333,2413.485093985229
290,150000,1991,120,150,14900,2392.0586,2297.7197737393
172,150000,1991,140,300,19900,2433.9826,2575.3256995957054
118,150000,1991,160,250,18900,2545.7966,2538.951260068901
80,150000,1991,180,289,26450,4364.1875,5127.9502242459175
43,150000,1991,200,199,10000,3504.5116,2231.607673405952
29,150000,1991,220,800,17500,7734.6207,4506.83227244877
21,150000,1991,240,1299,10000,5844.0000,3092.783227974133
26,150000,1991,260,850,69500,28760.6538,22338.842417055177
16,150000,1991,320,4500,89950,18168.5000,19346.70632174893
18,125000,1992,40,150,4200,761.1111,888.2685335270642
63,150000,1992,40,120,9850,667.9524,1202.8298699920638
13,90000,1992,60,150,1600,610.5385,463.2078143662311
14,100000,1992,60,300,3999,1352.7857,1126.6002065995747
38,125000,1992,60,140,12500,1575.0526,2216.412962036305
192,150000,1992,60,120,15000,1053.6042,1572.3738289285106
13,90000,1992,80,250,1950,909.9231,464.2463638958657
14,100000,1992,80,200,4350,1264.2857,1135.849048608348
39,125000,1992,80,150,5000,1518.9231,1429.3824807007122
274,150000,1992,80,110,18000,1923.4453,2583.190916811313
12,80000,1992,100,550,6000,2681.5833,1602.225819411511
17,100000,1992,100,250,12000,4034.9412,3980.1298452154906
39,125000,1992,100,250,10500,3278.3846,2681.228101844804
414,150000,1992,100,120,17000,1670.9493,1802.244782453571
17,125000,1992,120,500,13500,3284.4118,3516.3172087857442
373,150000,1992,120,169,19400,2195.2895,2293.857369581166
15,125000,1992,140,700,13999,3683.1333,3624.4579892110155
234,150000,1992,140,150,9200,2284.1197,1837.0772920960417
167,150000,1992,160,150,16500,1972.1497,2010.4367077908332
92,150000,1992,180,300,25700,4086.8696,3663.5608219368005
95,150000,1992,200,600,14500,4094.5895,3205.299757703061
37,150000,1992,220,1000,56900,7817.5946,10279.626824280016
29,150000,1992,240,1800,31000,9366.2414,7187.570965911355
15,150000,1992,280,1500,49900,8328.2667,11364.182806617562
17,150000,1992,320,1500,30000,12829.3529,8123.216379367274
16,125000,1993,40,150,2000,730.9375,488.8437210333687
88,150000,1993,40,150,1240,412.2045,193.39544738759477
13,90000,1993,60,250,2990,1008.9231,707.425936491801
17,100000,1993,60,150,8000,2228.8235,2677.8481096339083
43,125000,1993,60,200,5199,1053.4186,992.9478131573012
199,150000,1993,60,150,3999,738.9548,658.0127176947756
16,80000,1993,80,150,3850,1185.5625,970.3081320352572
16,90000,1993,80,235,1990,820.3125,543.9280419722355
18,100000,1993,80,400,7750,1204.4444,1610.3664945948112
51,125000,1993,80,140,18290,1369.8039,2581.893126838521
361,150000,1993,80,110,12900,1148.9584,1367.1163054887934
14,90000,1993,100,450,4000,1467.8571,815.3892897736339
15,100000,1993,100,120,9500,2464.4667,2976.0349878468987
51,125000,1993,100,120,6499,1305.9412,1182.8174143778397
477,150000,1993,100,125,8500,1178.9161,1205.723740001303
39,125000,1993,120,250,11000,3785.6154,3303.9791752570936
410,150000,1993,120,120,9999,1639.3171,1509.6899655715845
165,150000,1993,140,200,13500,2004.1758,1930.260870896816
15,125000,1993,160,750,11500,3222.6667,2809.3830085783766
259,150000,1993,160,150,15000,2118.0695,1981.9191400749678
79,150000,1993,180,500,15000,3170.6456,2988.632704766405
89,150000,1993,200,400,14500,4061.0337,3025.0032870237055
48,150000,1993,220,1300,19800,7299.0417,4847.609294617697
27,150000,1993,240,1200,36000,11524.0370,9728.176265008397
23,150000,1993,280,1200,16900,7988.6522,4150.921978346661
13,150000,1993,320,3100,26900,12014.6154,6087.549229476652
11,150000,1993,400,900,13900,7249.0909,3796.896351077607
33,125000,1994,40,190,1800,615.3333,367.80451549180526
167,150000,1994,40,119,1100,476.3713,249.1466751949425
18,90000,1994,60,150,6000,1147.8889,1274.1545732536574
23,100000,1994,60,150,2000,671.1739,465.622131942043
47,125000,1994,60,150,11500,892.3191,1607.3756873461834
400,150000,1994,60,120,14999,872.2350,1192.898233201391
18,80000,1994,80,250,3499,1378.7222,1146.5177619186986
11,90000,1994,80,350,2500,1043.5455,617.0120617115363
17,100000,1994,80,250,2500,1107.2353,689.3405654862577
72,125000,1994,80,120,1590,774.2639,374.3257639875681
585,150000,1994,80,120,15900,1242.0803,1518.6552909368481
15,100000,1994,100,550,9490,1875.8667,2169.6492148629823
28,125000,1994,100,300,3000,1409.8929,705.9457354340708
671,150000,1994,100,120,10600,1071.4993,929.7567633371259
37,125000,1994,120,299,5990,2208.8108,1366.4267632561161
698,150000,1994,120,150,24000,1620.6991,1703.163206942747
13,125000,1994,140,400,14900,3518.4615,3552.3339156842662
201,150000,1994,140,150,12950,2073.1891,2277.5627354717485
20,125000,1994,160,900,15000,5037.3500,3996.3295819414097
346,150000,1994,160,150,11900,2034.7254,1716.9207826065242
90,150000,1994,180,150,14999,2779.9667,2824.7869435882535
118,150000,1994,200,290,14500,3943.0847,3108.3012325288214
57,150000,1994,220,399,17500,4095.7018,3885.558014814365
18,150000,1994,240,1000,28000,10975.8333,7983.958961219956
38,150000,1994,280,800,69999,12831.4737,17766.929201449177
14,150000,1994,300,1000,49900,7233.0714,12087.9971368549
14,150000,1994,320,3333,31500,9612.9286,7081.126075342675
11,80000,1995,40,150,4000,1289.8182,1029.181565232722
14,90000,1995,40,200,6000,1526.9286,1506.5630452070943
16,100000,1995,40,200,1145,585.6250,311.6833078222188
53,125000,1995,40,150,5800,792.4528,926.0638261152196
337,150000,1995,40,110,30000,601.3798,1627.860132027466
26,5000,1995,60,200,3800,842.3462,830.044157412386
12,70000,1995,60,150,1200,599.5000,328.7632126622442
20,80000,1995,60,150,2850,884.8500,607.4864010823616
29,90000,1995,60,150,2600,806.0000,592.6551593726613
37,100000,1995,60,149,3990,842.3243,636.1417509063252
133,125000,1995,60,120,8900,771.8120,897.3835497400202
887,150000,1995,60,120,10800,726.0034,801.0008698182953
22,5000,1995,80,150,3666,808.7273,833.303512414086
18,70000,1995,80,888,2900,1586.6667,554.4853469659952
16,80000,1995,80,250,3600,1225.2500,827.5399159557198
29,90000,1995,80,300,2200,977.7586,425.8686583323803
39,100000,1995,80,150,2500,811.5641,459.9167591837035
114,125000,1995,80,150,7900,934.0000,844.4684822679055
1097,150000,1995,80,120,14750,913.5251,1053.5952995366242
24,5000,1995,100,200,5700,866.9583,1066.2102075093926
14,80000,1995,100,199,3000,1245.4286,751.6225985241828
15,90000,1995,100,250,3400,1481.3333,922.2643631603444
30,100000,1995,100,200,10000,1907.0333,2019.7586074138221
106,125000,1995,100,200,5900,1368.0660,1004.8457430556846
1228,150000,1995,100,120,18000,1022.1156,1010.7233644907628
18,5000,1995,120,200,1300,668.9444,286.47871206973787
17,100000,1995,120,650,7400,3035.2353,1970.1193612514583
57,125000,1995,120,150,11650,1817.2807,1749.9925489002871
859,150000,1995,120,120,13990,1396.3818,1384.653137266983
20,125000,1995,140,150,5500,1845.2500,1672.3744160623842
357,150000,1995,140,120,17500,1896.0168,2356.5968923179876
16,125000,1995,160,777,6000,2656.4375,1520.8441310975131
473,150000,1995,160,150,21000,2003.3277,2200.7301989275875
207,150000,1995,180,150,15000,2231.8454,2015.5783205919558
18,125000,1995,200,650,15900,6587.6111,3547.174464570183
215,150000,1995,200,350,15000,3246.5349,2511.7624364488024
74,150000,1995,220,450,25999,3706.7703,4446.647347880586
30,150000,1995,240,1150,19999,8470.8000,6007.040665752145
50,150000,1995,280,1200,83000,14926.9000,21925.621472834016
20,150000,1995,300,1750,9500,3538.4500,1817.352345446529
20,150000,1995,320,1199,14600,5654.8000,3767.2161021104166
11,80000,1996,40,600,1890,992.6364,436.7029930424468
26,90000,1996,40,300,2350,934.5000,398.51679339192793
15,100000,1996,40,349,1499,799.6667,331.6427127028256
51,125000,1996,40,140,1252,681.6078,268.42358086057675
